,country,flood_0_total,flood_0_percent,flood_1_total,flood_1_percent,flood_2_total,flood_2_percent,flood_3_total,flood_3_percent,flood_4_total,flood_4_percent,flood_5_total,flood_5_percent
0,Sudan,670.4622802734375,100.0,17.28419303894043,2.5779515504837036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Angola,463.5346984863281,100.0,373.4328308105469,80.5620014667511,74.32321166992188,16.034013032913208,0.05577733367681503,0.012033044185955077,0.05577733367681503,0.012033044185955077,0.05577733367681503,0.012033044185955077
2,Benin,266.0441589355469,100.0,200.97366333007812,75.54146647453308,20.03073501586914,7.529101520776749,0.0,0.0,0.0,0.0,0.0,0.0
3,Botswana,138.36376953125,100.0,16.935325622558594,12.239710986614227,9.05715560913086,6.545901298522949,4.907029151916504,3.546469658613205,4.907029151916504,3.546469658613205,4.907029151916504,3.546469658613205
4,Burkina Faso,167.42373657226562,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Cameroon,1010.1547241210938,100.0,639.5965576171875,63.31669092178345,185.65078735351562,18.378449976444244,44.967952728271484,4.4515907764434814,44.967952728271484,4.4515907764434814,44.967952728271484,4.4515907764434814
6,Cape Verde,17.37902069091797,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Central African Republic,25.037620544433594,100.0,18.613643646240234,74.3427038192749,15.91930866241455,63.58155608177185,0.0,0.0,0.0,0.0,0.0,0.0
8,Chad,66.16305541992188,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Comoros,31.41843605041504,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Congo,109.02710723876953,100.0,45.32448959350586,41.57176315784454,6.38908576965332,5.860089138150215,1.6849271059036255,1.5454203821718693,1.6849271059036255,1.5454203821718693,1.6849271059036255,1.5454203821718693
11,Cï¿½te d'Ivoire,1343.3536376953125,100.0,135.86737060546875,10.114043205976486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
