,Hydro EQ-anchored DS4,Hydro EQ-anchored DS4,Hydro EQ-unanchored DS4,Hydro EQ-unanchored DS4,Nuclear EQ-fixed DS4,Nuclear EQ-fixed DS4,Nuclear EQ-isolated DS4,Nuclear EQ-isolated DS4,Solar EQ-enhanced DS1,Solar EQ-enhanced DS1,Solar EQ-enhanced DS2,Solar EQ-enhanced DS2,Solar EQ-enhanced DS3,Solar EQ-enhanced DS3,Solar EQ-enhanced DS4,Solar EQ-enhanced DS4,Solar EQ-typical DS1,Solar EQ-typical DS1,Solar EQ-typical DS2,Solar EQ-typical DS2,Solar EQ-typical DS3,Solar EQ-typical DS3,Solar EQ-typical DS4,Solar EQ-typical DS4,TD EQ-base DS1,TD EQ-base DS1,TD EQ-base DS2,TD EQ-base DS2,TD EQ-base DS3,TD EQ-base DS3,TD EQ-base DS4,TD EQ-base DS4,TD EQ-seismic DS1,TD EQ-seismic DS1,TD EQ-seismic DS2,TD EQ-seismic DS2,TD EQ-seismic DS3,TD EQ-seismic DS3,TD EQ-seismic DS4,TD EQ-seismic DS4,TD Flood,TD Flood,TD Wind FS1,TD Wind FS1,TD Wind FS15,TD Wind FS15,Thermal EQ-anchored DS1,Thermal EQ-anchored DS1,Thermal EQ-anchored DS2,Thermal EQ-anchored DS2,Thermal EQ-anchored DS3,Thermal EQ-anchored DS3,Thermal EQ-anchored DS4,Thermal EQ-anchored DS4,Thermal EQ-unanchored DS1,Thermal EQ-unanchored DS1,Thermal EQ-unanchored DS2,Thermal EQ-unanchored DS2,Thermal EQ-unanchored DS3,Thermal EQ-unanchored DS3,Thermal EQ-unanchored DS4,Thermal EQ-unanchored DS4,Thermal Flood,Thermal Flood,Thermal Wind-enhanced DS1,Thermal Wind-enhanced DS1,Thermal Wind-enhanced DS2,Thermal Wind-enhanced DS2,Thermal Wind-enhanced DS3,Thermal Wind-enhanced DS3,Thermal Wind-enhanced DS4,Thermal Wind-enhanced DS4,Thermal Wind-minimum DS1,Thermal Wind-minimum DS1,Thermal Wind-minimum DS2,Thermal Wind-minimum DS2,Thermal Wind-minimum DS3,Thermal Wind-minimum DS3,Thermal Wind-minimum DS4,Thermal Wind-minimum DS4,Wind EQ Unit1,Wind EQ Unit1,Wind EQ Unit2,Wind EQ Unit2
,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0.0,0.0012017999999999998,0.0,0.003625153,0.0,0.001160094311130733,0.0,2.65e-06,0.0,0.0011750888800288186,0.002602646720514856,0.0023520884736836227,0.0008682282716831191,0.002350814664599632,0.002602646720514856,0.0023520884736836227,-0.0017746721583593028,0.004602991944764101,0.000895523724662256,0.005753739930955071,0.0017828598038419075,0.004602991944764101,0.0017828598038419075,0.004602991944764101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008841413094428929,0.002395209580838165,-0.0008788597006648412,0.003592814371257358,0.004414368616680653,0.00479041916167655,0.0026503112848173804,0.00479041916167655,0.0008955676794928369,0.0022988447125933398,-0.0008751675045613473,0.003449542079823287,-0.0017584950790953402,0.004599601941586595,-0.0008710874695750659,0.004598964436119957,0.0,0.0020187070000000002,0.0,0.003548675,0.0,0.007097349,0.0,0.007094774,0.0,0.00473457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0015947215880000002,0.0012432368951958484,0.00099890825,0.0035923143756756955,0.0030083779548379817,0.0011624209762156805,0.0030032789319999996,5.732397983709393e-05,0.001599132790775584,0.00117626333125589,0.004198308636298242,0.0023532603757956834,0.0024672428529757045,0.0023736557839799436,0.004197065398632217,0.002404697866529905,-0.00017378891610286395,0.0049369548182495865,0.0024937388179470444,0.005753739930955071,0.0033836775449344854,0.004602991944764101,0.0033807228283709427,0.0046374478006615495,0.001600880572,0.0,0.001598238855,0.0,0.0016,0.0,0.001601761145,5.218523139941334e-06,0.001598094104,0.0,0.001597141155,0.0,0.001598094104,2.6880382936992303e-05,0.001597141155,0.0,0.01000511509,0.0,0.499682136,0.0,0.5,0.0,0.0024841413094428937,0.002446933227155637,0.0007220149337488013,0.0035663061468526416,0.0059992769477582985,0.004822221020356245,0.004250877473278385,0.0048534089708012025,0.0024981972620415076,0.0027420752427488675,0.000725687262768283,0.003379263905282274,-0.00015497400890216286,0.0046773088684301705,0.000726107506371853,0.004643114345062298,0.0100179116,0.002255589254066232,0.08004357297999999,0.0035683736653576805,0.08008714597,0.0070930673663723584,0.08008714597,0.007101155164997612,0.08004357297999999,0.004739668986478485,0.08004445175,7.812813067344308e-06,0.08004445175,0.0,0.08000030586,2.288260508272567e-06,0.08004434980000001,1.2501122878298775e-05,0.0020012953369999997,0.0001464108035196346,0.001998056995,0.00015226447122400162
2,0.0031894431760000003,0.001284673790391697,0.0019978165,0.0035594757513513916,0.006016755909675963,0.0011647476413006283,0.006006557863999999,0.00011199795967418785,0.003198265581551168,0.0011774377824829612,0.005793970552081628,0.0023544322779077437,0.00406625743426829,0.002396496903360255,0.0057914840767495784,0.0024573072593761873,0.001427094326153575,0.005270917691735071,0.004091953911231833,0.005753739930955071,0.004984495286027063,0.004602991944764101,0.004978585852899978,0.004671903656558998,0.003201761144,0.0,0.00319647771,0.0,0.0032,0.0,0.00320352229,1.0437046279882669e-05,0.003196188208,0.0,0.00319428231,0.0,0.003196188208,5.376076587398461e-05,0.00319428231,0.0,0.02001023018,0.0,0.999364272,0.0,1.0,0.0,0.004084141309442894,0.0024986568734731082,0.0023228895681624436,0.0035397979224479257,0.007584185278835945,0.004854022879035939,0.005851443661739391,0.004916398779925855,0.004100826844590178,0.0031853057729043953,0.0023265420300979133,0.003308985730741261,0.0014485470612910145,0.004755015795273747,0.002323302482318772,0.0046872642540046385,0.0200358232,0.0024924715081324636,0.16008714595999998,0.0035880723307153612,0.16017429194,0.007088785732744717,0.16017429194,0.007107536329995225,0.16008714595999998,0.00474476797295697,0.1600889035,1.5625626134688616e-05,0.1600889035,0.0,0.16000061172,4.576521016545134e-06,0.16008869960000002,2.500224575659755e-05,0.004002590673999999,0.0002928216070392692,0.00399611399,0.00030452894244800325
3,0.004784164764000001,0.0013261106855875456,0.00299672475,0.003526637127027087,0.009025133864513944,0.001167074306385576,0.009009836795999999,0.00016667193951128178,0.004797398372326752,0.0011786122337100326,0.007389632467865014,0.0023556041800198045,0.0056652720155608745,0.0024193380227405664,0.0073859027548669395,0.0025099166522224697,0.0030279775684100138,0.005604880565220556,0.005690169004516622,0.005753739930955071,0.006585313027119641,0.004602991944764101,0.0065764488774290135,0.004706359512456446,0.004802641716,0.0,0.004794716565,0.0,0.0048000000000000004,0.0,0.004805283435,1.5655569419824e-05,0.004794282312,0.0,0.004791423465,0.0,0.004794282312,8.06411488109769e-05,0.004791423465,0.0,0.03001534527,0.0,1.4990464079999999,0.0,1.5,0.0,0.005684141309442895,0.00255038051979058,0.003923764202576086,0.0035132896980432093,0.009169093609913592,0.004885824737715634,0.007452009850200397,0.0049793885890505075,0.0057034564271388494,0.0036285363030599234,0.003927396797427544,0.0032387075562002477,0.0030520681314841914,0.004832722722117322,0.003920497458265691,0.0047314141629469795,0.030053734800000002,0.0027293537621986956,0.24013071894,0.003607770996073042,0.24026143791,0.007084504099117075,0.24026143791,0.0071139174949928375,0.24013071894,0.004749866959435455,0.24013335524999999,2.3438439202032925e-05,0.24013335524999999,0.0,0.24000091757999997,6.8647815248176996e-06,0.24013304940000002,3.750336863489632e-05,0.0060038860109999995,0.00043923241055890383,0.005994170985,0.00045679341367200484
4,0.006378886352000001,0.0013675475807833942,0.003995633,0.0034937985027027833,0.012033511819351927,0.0011694009714705235,0.012013115727999998,0.0002213459193483757,0.006396531163102336,0.0011797866849371037,0.0089852943836484,0.002356776082131865,0.00726428659685346,0.0024421791421208776,0.0089803214329843,0.0025625260450687515,0.004628860810666453,0.005938843438706041,0.0072883840978014095,0.005753739930955071,0.00818613076821222,0.004602991944764101,0.008174311901958048,0.004740815368353894,0.006403522288,0.0,0.00639295542,0.0,0.0064,0.0,0.00640704458,2.0874092559765337e-05,0.006392376416,0.0,0.00638856462,0.0,0.006392376416,0.00010752153174796921,0.00638856462,0.0,0.04002046036,0.0,1.998728544,0.0,2.0,0.0,0.007284141309442896,0.002602104166108052,0.0055246388369897285,0.003486781473638493,0.010754001940991237,0.0049176265963953286,0.009052576038661402,0.00504237839817516,0.00730608600968752,0.004071766833215451,0.005528251564757174,0.003168429381659234,0.004655589201677369,0.004910429648960897,0.00551769243421261,0.00477556407188932,0.0400716464,0.0029662360162649275,0.32017429191999996,0.003627469661430723,0.32034858388,0.007080222465489433,0.32034858388,0.00712029865999045,0.32017429191999996,0.00475496594591394,0.320177807,3.125125226937723e-05,0.320177807,0.0,0.32000122344,9.153042033090267e-06,0.32017739920000005,5.00044915131951e-05,0.008005181347999999,0.0005856432140785384,0.00799222798,0.0006090578848960065
5,0.00797360794,0.0014089844759792428,0.00499454125,0.003460959878378479,0.01504188977418991,0.0011717276365554713,0.015016394659999998,0.0002760198991854696,0.00799566395387792,0.001180961136164175,0.010580956299431787,0.002357947984243926,0.008863301178146045,0.0024650202615011893,0.010574740111101662,0.002615135437915034,0.006229744052922891,0.006272806312191526,0.008886599191086197,0.005753739930955071,0.009786948509304796,0.004602991944764101,0.009772174926487083,0.0047752712242513425,0.008004402859999999,0.0,0.007991194275,0.0,0.008,0.0,0.008008805725,2.609261569970667e-05,0.007990470520000001,0.0,0.007985705775,0.0,0.007990470520000001,0.00013440191468496154,0.007985705775,0.0,0.050025575450000005,0.0,2.49841068,0.0,2.5,0.0,0.008884141309442897,0.0026538278124255232,0.007125513471403371,0.003460273249233777,0.012338910272068883,0.0049494284550750224,0.010653142227122407,0.005105368207299812,0.00890871559223619,0.004514997363370979,0.007129106332086804,0.003098151207118221,0.006259110271870547,0.004988136575804473,0.007114887410159528,0.004819713980831661,0.050089558,0.003203118270331159,0.40021786489999994,0.0036471683267884037,0.40043572985,0.0070759408318617914,0.40043572985,0.007126679824988063,0.40021786489999994,0.004760064932392425,0.40022225874999995,3.906406533672154e-05,0.40022225874999995,0.0,0.4000015293,1.1441302541362833e-05,0.40022174900000007,6.250561439149388e-05,0.010006476684999998,0.0007320540175981729,0.009990284975000001,0.0007613223561200082
6,0.009568329528000002,0.0014504213711750914,0.0059934495,0.0034281212540541745,0.01805026772902789,0.001174054301640419,0.018019673591999998,0.0003306938790225635,0.009594796744653505,0.0011821355873912463,0.012176618215215172,0.0023591198863559862,0.01046231575943863,0.002487861380881501,0.012169158789219023,0.002667744830761316,0.00783062729517933,0.006606769185677011,0.010484814284370987,0.005753739930955071,0.011387766250397375,0.004602991944764101,0.01137003795101612,0.004809727080148791,0.009605283432,0.0,0.00958943313,0.0,0.009600000000000001,0.0,0.00961056687,3.1311138839648e-05,0.009588564624,0.0,0.00958284693,0.0,0.009588564624,0.0001612822976219538,0.00958284693,0.0,0.06003069054,0.0,2.9980928159999998,0.0,3.0,0.0,0.010484141309442897,0.002705551458742995,0.008726388105817013,0.0034337650248290608,0.01392381860314653,0.004981230313754717,0.012253708415583413,0.005168358016424464,0.010511345174784862,0.004958227893526507,0.008729961099416435,0.003027873032577208,0.007862631342063723,0.005065843502648049,0.008712082386106448,0.004863863889774003,0.060107469600000005,0.0034400005243973913,0.48026143788,0.0036668669921460844,0.48052287582,0.00707165919823415,0.48052287582,0.007133060989985674,0.48026143788,0.00476516391887091,0.48026671049999997,4.687687840406585e-05,0.48026671049999997,0.0,0.48000183515999995,1.3729563049635399e-05,0.48026609880000004,7.500673726979264e-05,0.012007772021999999,0.0008784648211178077,0.01198834197,0.0009135868273440097
7,0.011163051116000001,0.00149185826637094,0.006992357750000001,0.0033952826297298706,0.02105864568386587,0.0011763809667253665,0.021022952523999997,0.00038536785885965745,0.011193929535429088,0.0011833100386183177,0.013772280130998559,0.002360291788468047,0.012061330340731216,0.002510702500261812,0.013763577467336384,0.0027203542236075985,0.00943151053743577,0.006940732059162496,0.012083029377655775,0.005753739930955071,0.012988583991489954,0.004602991944764101,0.012967900975545154,0.004844182936046239,0.011206164004,0.0,0.011187671985,0.0,0.0112,0.0,0.011212328015,3.652966197958934e-05,0.011186658728,0.0,0.011179988085,0.0,0.011186658728,0.0001881626805589461,0.011179988085,0.0,0.07003580563,0.0,3.497774952,0.0,3.5,0.0,0.012084141309442898,0.002757275105060467,0.010327262740230657,0.0034072568004243444,0.015508726934224176,0.005013032172434412,0.013854274604044418,0.005231347825549117,0.012113974757333532,0.005401458423682035,0.010330815866746064,0.0029575948580361946,0.0094661524122569,0.005143550429491624,0.010309277362053367,0.004908013798716344,0.0701253812,0.003676882778463623,0.56030501086,0.003686565657503765,0.56061002179,0.007067377564606508,0.56061002179,0.007139442154983287,0.56030501086,0.004770262905349395,0.56031116225,5.4689691471410164e-05,0.56031116225,0.0,0.56000214102,1.601782355790797e-05,0.5603104486000001,8.750786014809143e-05,0.014009067358999998,0.0010248756246374422,0.013986398965,0.0010658512985680115
8,0.012757772704000001,0.0015332951615667887,0.007991266,0.003362444005405566,0.024067023638703854,0.0011787076318103143,0.024026231455999997,0.0004400418386967514,0.012793062326204672,0.0011844844898453888,0.015367942046781945,0.0023614636905801077,0.0136603449220238,0.0025335436196421237,0.015357996145453745,0.002772963616453881,0.011032393779692208,0.007274694932647981,0.013681244470940563,0.005753739930955071,0.014589401732582531,0.004602991944764101,0.014565764000074189,0.004878638791943687,0.012807044576,0.0,0.01278591084,0.0,0.0128,0.0,0.01281408916,4.1748185119530674e-05,0.012784752832,0.0,0.01277712924,0.0,0.012784752832,0.00021504306349593843,0.01277712924,0.0,0.08004092072,0.0,3.997457088,0.0,4.0,0.0,0.013684141309442899,0.0028089987513779382,0.011928137374644298,0.0033807485760196285,0.01709363526530182,0.005044834031114106,0.015454840792505423,0.005294337634673769,0.013716604339882203,0.00650829960509306,0.011931670634075695,0.0028873166834951815,0.011069673482450079,0.0052212573563352,0.011906472338000285,0.004952163707658685,0.0801432928,0.003913765032529855,0.6403485838399999,0.003706264322861446,0.64069716776,0.007063095930978866,0.64069716776,0.007145823319980899,0.6403485838399999,0.00477536189182788,0.640355614,6.250250453875446e-05,0.640355614,0.0,0.64000244688,1.8306084066180534e-05,0.6403547984000001,0.0001000089830263902,0.016010362695999997,0.0011712864281570767,0.01598445596,0.001218115769792013
